#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  45
# Band-Index    1
   1.08804    -12.103317    -12.106896
   1.10531    -12.093924    -12.096686
   1.12258    -12.085000    -12.086986
   1.13985    -12.076662    -12.077919
   1.15712    -12.069028    -12.069607
   1.17439    -12.062205    -12.062162
   1.19166    -12.056296    -12.055693
   1.20893    -12.051397    -12.050300
   1.22620    -12.047599    -12.046079
   1.24347    -12.044987    -12.043120
   1.26074    -12.043645    -12.041513
   1.27801    -12.043647    -12.041336
   1.29528    -12.045063    -12.042663
   1.31255    -12.047957    -12.045558
   1.32982    -12.052389    -12.050075
   1.34709    -12.058409    -12.056249
   1.36436    -12.066043    -12.064076
   1.38164    -12.075279    -12.073497
   1.39891    -12.086034    -12.084373
   1.41618    -12.098123    -12.096477
   1.43345    -12.111257    -12.109502
   1.45072    -12.125076    -12.123106
   1.46799    -12.139201    -12.136948
   1.48526    -12.153285    -12.150716
   1.50253    -12.167030    -12.164140
   1.51980    -12.180189    -12.176994
   1.53707    -12.192557    -12.189086
   1.55434    -12.203963    -12.200252
   1.57161    -12.214252    -12.210346
   1.58888    -12.223278    -12.219237
   1.60615    -12.230874    -12.226795
   1.62342    -12.236719    -12.232901
   1.64069    -12.240133    -12.237476
   1.65796    -12.241744    -12.240543
   1.67523    -12.242549    -12.242257
   1.69250    -12.242804    -12.242804
 
# Band-Index    8
   1.69250    -12.242804    -12.242804
   1.67523    -12.242157    -12.241510
   1.65796    -12.239981    -12.237544
   1.64069    -12.235462    -12.230830
   1.62342    -12.227732    -12.221545
   1.60615    -12.217105    -12.210058
   1.58888    -12.204405    -12.196799
   1.57161    -12.190249    -12.182187
   1.55434    -12.175091    -12.166606
   1.53707    -12.159285    -12.150390
   1.51980    -12.143108    -12.133809
   1.50253    -12.126767    -12.117076
   1.48526    -12.110395    -12.100335
   1.46799    -12.094040    -12.083656
   1.45072    -12.077673    -12.067041
   1.43345    -12.061173    -12.050412
   1.41618    -12.044368    -12.033632
   1.39891    -12.027076    -12.016542
   1.38164    -12.009168    -11.998999
   1.36436    -11.990598    -11.980914
   1.34709    -11.971399    -11.962268
   1.32982    -11.951660    -11.943106
   1.31255    -11.931499    -11.923513
   1.29528    -11.911037    -11.903599
